,mf,mf,mf,mf,m_total,nt,nt,nt,nt_total,rf,rf,rf,rf,rf_total,s,s,s,s,s_total,ve,ve,ve,ve,ve,ve,ve,ve,ve_total,total,question 2a,question 2b,question 2c,question 2d,question 2 total,grand-total
abdall77,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,8.2,23.2,83
abdul180,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
ahmedum5,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,0,10,15,75
alishah,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,8.2,8.2,26.4,86
allabwan,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
ansari54,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,0,0,5,65
berrysea,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
caowenka,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,10,10,25,85
chanja51,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
chaud349,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,9,10,24,84
chazhoo1,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,0,8,0,0,0,0,0,0,0,8,9,42,5,0,9,9,23,65
chenha85,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,8.2,5.4,18.6,79
chenka46,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
chensi91,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,8.2,28.2,88
chiahjia,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,0,9,10,19,79
chodiony,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
chosun19,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,3.6,18.6,79
contejas,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,0,10,0,15,73
dajanir1,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,8.2,10,23.2,83
damdibby,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,9,10,24,84
dengmen4,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,10,10,30,88
dingyua6,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
downieth,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,2,0,2,2,2,2,0,8,20,53,5,5,10,9,29,82
duongke8,2,2,2,3,10,1,1,1,5,2,2,0,3,8,2,2,2,2,10,0,0,0,0,0,2,0,8,11,44,0,0,9,7.2,16.2,60
fanfeiya,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,9,9,28,88
faroo127,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,5,9,9,28,86
fongkwan,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,0,0,0,0,8,14,49,5,0,10,5.4,20.4,69
furaijiy,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,7.2,8.2,25.4,85
garret23,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,0,2,2,2,2,2,8,23,58,5,0,10,9,24,82
goyalak2,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,8.2,28.2,88
graha175,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,8.2,23.2,83
hanqinto,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
huan2500,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
huangv11,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
huzaifa3,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,0,0,0,0,0,0,0,7,8,43,5,0,10,10,25,68
jaipers5,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,9,5.4,24.4,84
jalalsam,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,0,10,15,75
jiang197,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,0,2,6,20,55,5,5,10,9,29,84
jilong1,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,5,10,10,30,90
kammulaa,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,10,25,85
kartonoe,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,0,5,10,10,25,85
khanha11,2,2,2,3,10,1,1,1,5,2,2,2,3,10,2,2,2,2,10,2,2,2,2,2,2,2,8,25,60,5,0,10,8.2,23.2,83
