"Timestamp","teach.cs ID","What is P(B=true|A=true)?","What is P(C=true|A=true)?","What is P(C=true|A=true, E=false)?","What is P(C=true|A=true, F=false)?","V1","V2","V3","V1","V2","V3","V0","d0","V1","d1","V2","d2","V3","d3","V4","d4","V5","d5","What is P(V0=d0|V1=d1,V2=d2,V3=d3,V4=d4,V5=d5)?","V0","d0","V1","d1","V2","d2","V3","d3","V4","d4","V5","d5","What is P(V0=d0|V1=d1,V2=d2,V3=d3,V4=d4,V5=d5)?"
"2020/03/16 6:10:12 PM MDT","sonya","0.1","0.1","0.1","0.1","Charging system","Distributer","Starter motor","Starter motor","Starter motor","Main fuse","Distributer","asdas","Voltage at plug","asd","Starter system","asdas","Spark plugs","as","Headlights","as","Distributer","as","0.11","Starter motor","sadas","Charging system","asd","Voltage at plug","asd","Main fuse","asd","Charging system","asd","Main fuse","asd","0.1"
"2020/03/18 3:46:47 PM MDT","ferre246","0.5","0.5","0.5714285714285715","0.5","Charging system","Alternator","Battery voltage","Charging system","Starter system","Alternator","Car starts","true","Spark quality","bad","Car cranks","true","Air system","okay","Fuel system","okay","Spark timing","good",".7","Car starts","false","Spark quality","bad","Car cranks","true","Air system","okay","Fuel system","okay","Spark timing","good","0.3"
"2020/03/22 10:19:12 PM MDT","leesisob","0.5","0.5","0.57142857142857","0.5","Air system","Air filter","Car starts","Alternator","Battery age","Battery voltage","Car starts","False","Alternator","faulty","Battery age","old","Distributer","faulty","Starter motor","faulty ","Fuel system","faulty","0.9999838247147199","Car starts","True ","Alternator","faulty","Battery age","old","Distributer","faulty","Starter motor","faulty","Fuel system","faulty ","1.617528528e-05"
"2020/03/23 1:00:02 PM MDT","chenj371","0.5","0.5","0.57","0.5","Headlights","Battery voltage","Distributer","Battery voltage","Main fuse","Headlights","Car starts","true","Air system","okay","Fuel system","okay","Car cranks","true","Alternator","okay","Spark quality","good","0.986","Car starts","false","Air system","okay","Fuel system","okay","Car cranks","true","Alternator","okay","Spark quality","good","0.014"
"2020/03/23 7:04:45 PM MDT","wongc143","0.5","0.5","0.57","0.5","Charging system","Alternator","Battery voltage","Car cranks","Air system","Car starts","Car starts","true","Fuel system","okay","Air filter","clean","Spark plugs","okay","Distributer","okay","Starter motor","okay","0.37","Car starts","false","Fuel system","okay","Air filter","clean","Spark plugs","okay","Distributer","okay","Starter motor","okay","0.63"
"2020/03/24 3:16:48 PM MDT","fangyuez","0.5","0.5","0.57","0.5","Charging system","Alternator","Battery voltage","Air filter","Battery age","Car starts","Car starts","true","Battery age","new","Air filter","clean","Fuel system","okay","Voltage at plug","strong","Spark timing","good","0.69","Car starts","true","Battery voltage","weak","Air filter","dirty","Spark timing","bad","Fuel system","faulty","Car cranks","false","0"
"2020/03/25 5:27:58 PM MDT","gongxi10","0.5","0.5","0.57","0.5","Charging system","Alternator","Battery voltage","Fuel system","Air system","Car starts","Car starts","true","Fuel system","okay","Air system","okay","Car cranks","true","Spark timing","good","Spark quality","good","0.99","Car starts","true","Spark plugs","fouled","Fuel system","faulty","Air system","faulty","Spark timing","bad","Car cranks","false","0.0"
"2020/03/25 7:52:04 PM MDT","yangzh48","0.5","0.5","0.57","0.5","Car cranks","Starter system","Battery voltage","Fuel system","Car cranks","Car starts","Car starts","true","Spark quality","bad","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.7","Car starts","false","Spark quality","bad","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.3"
"2020/03/26 2:40:03 AM MDT","letri1","0.5","0.5",".5714285714285714","0.5","Voltage at plug","Spark quality","Battery voltage","Alternator","Battery age","Battery voltage","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","okay","Car cranks","true","Air system","okay","0.9899999999999999","Car starts","false","Spark quality","good","Fuel system","okay","Spark timing","okay","Car cranks","true","Air system","okay","0.009999999999999998"
"2020/03/26 1:45:02 PM MDT","chenj368","0.5","0.5","0.57142857142857","0.5","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Car starts","true","Fuel system","okay","Spark quality","good","Car cranks","true","Air system","okay","Spark timing","good","0.98999999999999","Car starts","true","Air system","faulty","Car cranks","false","Spark quality","very_bad","Fuel system","faulty","Spark timing","very_bad","0"
"2020/03/26 2:21:02 PM MDT","leejor12","0.5","0.5","0.5714285714285714","0.5","Air system","Air filter","Car starts","Fuel system","Air system","Car starts","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.99","Car starts","false","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.01"
"2020/03/26 5:34:39 PM MDT","chenj368","0.5","0.5","0.57142857142857","0.5","Air system","Air filter","Car starts","Battery age","Charging system","Battery voltage","Car starts","true","Air system","okay","Fuel system","okay","Car cranks","true","Spark quality","good","Spark timing","good","0.98999999999999","Car starts","true","Charging system","okay","Battery age","old","Voltage at plug","weak","Fuel system","faulty","Air filter","dirty","0.014008277633154969"
"2020/03/26 8:43:15 PM MDT","dangbran","0.48","0.48","0.55","0.48","Charging system","Alternator","Battery voltage","Spark plugs","Voltage at plug","Spark quality","Car starts","True","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.99","Car starts","false","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.01"
"2020/03/27 8:43:33 AM MDT","lugeorg2","0.5","0.5","0.5714285714285714","0.5","Charging system","Alternator","Battery voltage","Distributer","Main fuse","Voltage at plug","Car starts","true","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.7279347113300154","Car starts","false","Alternator","okay","Charging system","okay","Battery voltage","strong","Starter system","okay","Car cranks","true","0.2720652886699845"
"2020/03/28 1:42:21 AM MDT","hsuwils1","0.5","0.5","0.5714","0.5","Air system","Air filter","Car starts","Headlights","Starter system","Battery voltage","Car starts","false","Spark quality","very bad","Fuel system","faulty","Spark timing","very bad","Car cranks","false","Air system","faulty","1.0","Car starts","true","Spark quality","good","Fuel system","okay","Spark timing","good","Car cranks","true","Air system","okay","0.001"
"2020/03/28 1:46:26 AM MDT","hsuwils1","0.5","0.571428","0.5","0.5","Air system","Air filter","Car starts","Headlights","Starter system","Battery voltage","Car starts","false","Spark quality","false","Fuel system","faulty","Spark timing","very bad","Car cranks","false","Air system","faulty","1","Car starts","true","Spark quality","very bad","Fuel system","faulty","Spark timing","very bad","Car cranks","false","Air system","faulty","0.0"
"2020/03/28 7:18:45 AM MDT","schnell2","0.5","0.5","0.57","0.5","Charging system","Alternator","Battery voltage","Charging system","Battery age","Battery voltage","Car starts","true","Battery age","new","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.68","Car starts","false","Battery age","new","Charging system","okay","Battery voltage","strong","Voltage at plug","strong","Spark quality","good","0.32"
"2020/03/28 10:31:16 AM MDT","yautiff3","0.5","0.5","0.5714285714285714","0.5","Air system","Air filter","Car starts","Spark plugs","Voltage at plug","Spark quality","Car starts","true","Air system","okay","Car cranks","true","Spark timing","good","Fuel system","okay","Spark quality","good","0.99","Car starts","True","Air system","faulty","Spark timing","bad","Fuel system","faulty","Car cranks","false","Spark quality","very_bad","0"
"2020/03/28 1:46:50 PM MDT","cuiyifa1","0.5","0.5","0.5714285714285714","0.5","Air system","Air filter","Car starts","Fuel system","Air system","Car starts","Car starts","true","Fuel system","okay","Starter motor","okay","Spark quality","good","Air system","okay","Spark timing","good","0.77715","Car starts","true","Spark plugs","fouled","Fuel system","faulty","Starter motor","faulty","Air system","faulty","Spark timing","bad","0.0002313511764347888"
"2020/03/28 2:10:08 PM MDT","chowyi","0.5","0.5","0.57","0.5","Battery voltage","Starter system","Headlights","Starter motor","Battery voltage","Starter system","Car starts","true","Spark timing","good","Voltage at plug","strong","Fuel system","okay","Starter motor","okay","Air filter","clean","0.696","Car starts","false","Spark timing","good","Voltage at plug","strong","Fuel system","okay","Starter motor","okay","Air filter","clean","0.304"
