utorid, prior_a, prior_b, transition_a, transition_b, emission_a, emission_b, tagging_small, tagging_large
abdela47, 0.0,0.0,7,7,7,7,35.0,23.0,7
alisy101, 7,7,7,7,7,7,35.0,23.0,7
alisy102, 7,7,7,7,7,7,35.0,23.0,7
aliziyya, 7,7,0.0,7,7,7,35.0,23.0,7
awadkerm, 7,7,7,7,7,7,35.0,23.0,7
barbuto3, 7,7,7,7,7,7,35.0,23.0,7
cenicero, 7,7,7,7,7,7,35.0,23.0,7
chenda48, 0.0,7,7,7,7,7,35.0,23.0,7
dongti12, 0.0,7,7,7,7,7,35.0,23.0,7
dosreisu, 7,7,7,7,7,7,35.0,23.0,7
fatima38, 0.0,0.0,7,7,7,7,35.0,23.0,7
frewmack, 7,7,7,7,7,7,35.0,23.0,7
fujimor1, 7,7,7,7,7,7,35.0,23.0,7
grewa309, 7,7,7,7,7,7,35.0,23.0,7
guptav31, 7,7,0.0,7,7,7,35.0,23.0,7
hirschwi, 0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,7
huan1323, 7,7,7,7,7,7,35.0,23.0,7
jasinsk9, 7,7,7,7,7,7,35.0,23.0,7
kabilar1, 7,7,7,7,7,7,35.0,23.0,0
kalynyc1, 0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,7
khanasiy, 7,7,7,7,7,7,35.0,23.0,7
khawasab, 7,7,7,7,7,7,35.0,23.0,7
klingerw, 7,7,7,7,7,7,35.0,23.0,7
kokamihi, 0.0,7,7,7,7,7,35.0,23.0,7
laiyuan1, 7,7,7,7,7,7,35.0,23.0,0
leejon79, 7,7,7,7,7,7,35.0,23.0,7
lejia, 7,7,7,7,7,7,35.0,23.0,7
lihongti, 7,7,7,7,7,7,35.0,23.0,7
liuze9, 7,7,7,7,7,7,35.0,23.0,7
macolt, 7,7,7,7,7,7,35.0,23.0,7
mehtanaw, 7,7,7,7,7,7,35.0,23.0,7
mostafi7, 7,7,7,7,7,7,35.0,23.0,7
moumnehb, 7,7,7,7,7,7,35.0,23.0,7
muraka21, 7,7,7,7,7,7,35.0,23.0,7
muraset1, 7,7,7,7,7,7,35.0,23.0,0
paddara1, 7,7,7,7,7,7,35.0,23.0,0
palanpu1, 7,7,7,7,7,7,35.0,23.0,7
panicke8, 7,7,7,7,7,7,35.0,23.0,7
parashan, 7,7,7,7,7,7,35.0,23.0,7
pate1165, 7,7,7,7,7,7,35.0,23.0,7
pathak18, 7,7,7,7,7,7,35.0,23.0,7
qinlang3, 7,7,7,7,7,7,35.0,23.0,7
rahimasa, 7,7,7,7,7,7,35.0,23.0,7
ralphnat, 7,7,7,7,7,7,35.0,23.0,7
rammahah, 7,7,7,7,7,7,35.0,23.0,7
ravinde2, 7,7,7,7,7,7,35.0,23.0,7
sabooman, 0.0,7,7,7,7,7,35.0,23.0,7
shuklah6, 7,7,7,7,7,7,35.0,23.0,7
siddi713, 7,7,7,7,7,7,35.0,23.0,0
singhgou, 0.0,0.0,7,7,7,7,35.0,23.0,0
songmi22, 7,7,7,7,7,7,35.0,23.0,7
syedama7, 7,7,7,7,7,7,35.0,23.0,7
tedjaant, 0.0,7,7,7,7,7,35.0,23.0,0
xutian21, 7,7,7,7,7,7,35.0,23.0,7
xuwencai, 7,7,7,7,7,7,35.0,23.0,7
xuyiche6, 0.0,0.0,0.0,0.0,0.0,0.0,35.0,23.0,7
yenping, 7,7,7,7,7,7,35.0,23.0,7
zeinehra, 7,7,7,7,7,7,35.0,23.0,0
zhan2772, 7,7,7,7,7,7,35.0,23.0,7
zhaodav7, 7,7,7,7,7,7,35.0,23.0,7
zhujoan1, 7,7,7,7,7,7,35.0,23.0,0
