"L" "A" "Y"
405 0 0
412 0 1
301 1 1
253 1 1
307 0 0
392 0 0
361 0 1
363 1 1
267 1 1
355 0 0
350 0 1
357 1 1
330 0 0
422 0 0
414 0 0
360 1 1
453 0 1
357 0 0
336 1 1
313 1 1
355 0 0
263 1 1
379 1 1
400 0 0
330 1 1
434 0 0
405 0 1
315 0 0
405 1 1
289 1 1
334 0 0
435 0 0
398 0 1
454 0 1
334 0 1
332 1 1
346 0 0
355 1 1
342 0 1
408 0 1
312 1 1
350 0 0
311 1 1
400 0 1
302 1 1
406 0 0
347 0 0
314 0 0
365 0 1
336 0 1
385 0 1
437 0 0
353 1 1
401 0 0
329 1 1
330 1 1
406 0 1
381 0 0
311 0 0
444 0 0
304 1 1
369 1 1
351 0 0
349 0 1
317 0 1
356 0 0
287 1 1
303 1 1
374 0 0
314 1 1
356 0 0
313 0 0
352 0 0
399 0 1
367 1 1
369 0 0
332 1 1
280 1 1
381 0 1
381 0 0
338 1 1
337 1 1
357 0 0
310 1 1
261 0 0
384 1 1
403 0 1
323 1 1
383 0 0
327 0 0
420 0 0
366 0 0
289 0 0
272 1 1
293 1 0
329 1 1
362 1 1
456 0 0
312 1 1
387 1 1
423 0 0
354 0 1
353 0 1
275 1 1
378 0 0
304 1 1
375 1 1
395 1 1
383 1 1
333 0 0
331 1 1
258 1 1
342 0 0
334 0 1
358 0 1
310 1 1
402 0 0
347 1 1
414 0 0
328 1 1
409 1 1
279 1 1
366 1 1
344 0 1
293 1 1
235 1 1
394 0 1
400 0 1
304 1 1
435 1 1
419 0 1
298 1 1
470 0 1
328 0 1
275 1 1
383 0 0
316 0 0
347 1 1
315 1 1
281 1 1
357 0 0
387 0 1
379 0 1
274 0 0
389 0 0
350 0 0
281 1 1
382 1 1
403 0 1
320 1 1
309 0 0
321 1 0
387 0 0
408 0 0
379 1 1
368 1 1
405 0 0
347 0 1
387 0 1
348 0 0
400 0 1
308 1 1
339 1 1
296 1 0
330 0 0
362 1 1
280 1 1
375 0 1
339 1 1
290 1 1
354 1 1
268 1 1
399 0 0
310 0 0
294 1 1
286 1 1
407 1 1
326 0 0
306 0 0
341 0 0
394 0 0
309 1 1
398 1 1
374 0 0
340 0 0
328 1 1
312 1 1
436 0 0
347 1 1
346 0 0
350 1 1
356 0 0
287 0 0
407 1 1
335 0 1
313 1 1
311 1 1
340 1 1
421 0 1
381 1 1
300 1 1
310 1 1
381 1 1
327 1 1
354 1 1
319 1 1
415 0 0
315 1 1
345 0 0
266 1 1
300 1 1
383 0 0
331 1 1
441 0 1
356 0 1
357 1 1
386 0 0
372 0 0
341 1 1
304 1 1
325 0 1
313 1 1
477 0 1
357 0 0
288 1 1
407 0 1
306 0 0
341 1 1
277 1 1
384 1 1
381 0 0
332 0 0
380 1 1
363 0 0
354 0 0
315 1 1
381 0 1
411 0 1
345 1 1
363 1 1
369 0 0
275 1 1
339 0 0
314 0 0
418 0 0
336 1 0
412 0 0
339 0 0
408 0 1
354 0 1
299 1 1
265 1 0
318 1 1
450 0 1
354 0 0
265 1 1
354 0 0
393 0 1
385 0 1
363 1 1
387 1 1
416 0 0
387 0 0
332 0 1
335 0 1
399 1 1
241 1 0
227 1 1
451 1 1
372 0 0
404 0 1
417 0 1
376 1 1
327 0 1
375 0 1
377 1 0
414 1 1
336 0 0
322 1 1
404 0 0
323 0 1
284 1 1
385 0 1
370 1 1
335 1 1
260 1 1
293 1 1
413 0 0
347 0 0
377 1 1
389 0 0
345 1 1
266 1 0
363 1 1
315 1 1
282 1 1
426 0 0
440 0 1
371 0 1
363 1 1
424 0 0
353 0 1
405 1 1
396 0 1
271 1 0
348 0 1
424 0 0
363 0 1
336 1 1
377 1 1
313 0 1
273 1 1
304 1 1
390 0 1
385 0 1
400 0 1
352 0 0
