"L0" "A0" "L1" "A1" "Y"
366 0 320 0 0
371 0 364 0 0
353 0 320 0 0
357 0 315 0 1
316 1 275 1 1
389 0 362 1 0
332 0 220 0 1
264 1 446 1 1
419 0 348 0 0
382 0 344 0 0
338 0 241 1 1
330 0 259 0 0
320 0 330 0 1
429 0 313 0 1
409 0 243 0 1
434 0 241 0 0
308 0 218 0 0
264 1 322 1 1
338 0 281 0 0
397 0 352 0 1
377 1 384 1 1
371 0 441 0 1
315 0 359 1 1
223 0 375 0 1
340 0 330 0 1
295 0 329 0 1
385 0 339 0 0
308 0 343 0 1
345 0 340 0 1
372 0 382 1 1
328 0 332 0 0
374 0 326 0 0
399 0 348 0 0
395 0 346 1 1
309 0 309 0 0
392 0 268 0 0
372 0 381 0 1
352 0 293 0 0
375 0 239 0 1
297 1 305 1 0
423 0 355 0 1
417 0 342 0 1
414 0 228 0 1
428 0 378 0 1
364 0 296 0 0
351 0 400 0 1
342 0 268 1 1
291 1 267 1 1
341 0 396 0 1
343 0 321 0 1
384 0 293 0 1
353 0 327 0 0
343 1 390 1 1
402 0 250 0 1
287 0 366 0 1
279 0 296 0 1
342 0 290 0 0
243 1 424 1 1
394 0 279 0 0
381 0 243 0 1
369 0 347 0 1
302 1 360 1 1
341 0 403 0 1
418 0 265 0 0
442 0 251 0 1
412 0 297 0 1
366 0 268 1 1
308 1 377 1 1
410 0 315 0 0
479 0 306 1 1
308 1 332 1 1
321 0 335 0 1
442 0 330 0 1
326 0 334 0 0
393 0 337 1 1
221 1 346 1 1
396 0 190 0 0
261 1 354 1 1
330 0 324 0 0
322 0 323 1 1
324 1 358 1 1
443 0 368 0 1
348 0 258 0 1
289 0 310 0 0
420 0 361 0 0
303 1 478 1 1
332 0 313 0 0
267 0 314 0 0
347 0 353 0 1
287 0 259 0 0
359 0 263 0 1
355 0 250 1 1
377 0 351 0 0
347 0 307 0 1
329 1 334 1 1
406 1 329 1 1
436 0 248 0 1
331 0 237 0 0
351 0 348 0 1
406 0 378 1 1
398 0 287 0 0
396 0 322 0 1
389 0 375 0 0
307 0 379 0 1
361 0 256 0 1
342 0 314 0 0
495 0 339 1 1
302 0 332 0 0
355 0 344 0 0
343 0 335 0 0
377 0 377 0 1
406 0 305 0 1
310 0 369 1 1
397 0 304 0 1
281 0 299 0 1
345 0 318 0 0
273 0 264 0 0
356 0 337 0 0
304 1 244 0 0
406 0 394 0 1
379 0 304 0 1
404 0 383 0 1
371 0 382 0 0
416 0 317 0 0
392 0 405 0 0
450 0 262 0 1
451 0 293 0 1
408 0 400 0 1
421 0 391 0 1
393 0 288 0 1
294 0 327 0 1
335 0 382 0 0
365 0 316 0 1
372 0 341 0 1
301 0 258 0 0
323 0 409 0 0
278 0 339 0 1
395 0 384 0 1
456 0 393 0 1
403 0 382 0 1
306 0 382 0 1
377 0 425 0 1
414 0 401 0 0
319 0 355 0 0
371 0 309 0 1
321 0 328 0 0
342 0 347 0 0
352 0 393 0 1
422 0 369 0 1
367 0 285 0 1
301 0 323 0 1
339 0 297 1 1
313 1 347 1 1
407 0 306 0 1
341 0 312 0 1
300 1 342 1 1
328 1 261 1 1
347 0 306 0 1
320 1 384 1 1
310 0 250 1 1
407 0 259 1 1
322 0 328 0 1
320 0 372 0 0
423 0 332 1 1
305 0 351 0 1
400 0 310 0 1
327 0 360 0 1
461 0 320 0 1
402 0 277 0 0
372 0 415 0 0
376 0 256 0 1
423 0 313 0 1
374 0 394 0 1
356 0 300 0 1
413 0 388 0 1
323 0 312 0 1
395 0 326 1 1
406 0 374 0 0
359 0 375 0 0
328 0 386 0 0
336 0 410 0 1
378 0 298 0 0
319 0 428 0 1
305 0 403 0 1
455 0 440 0 1
360 0 351 0 1
350 0 422 0 0
481 0 349 0 1
321 0 406 0 1
364 0 321 0 1
351 0 331 0 1
271 1 346 1 0
388 0 340 0 0
304 0 293 0 0
373 0 411 0 1
290 0 316 0 0
393 0 307 0 1
297 0 347 0 0
293 1 197 1 1
405 0 324 0 1
390 0 390 0 1
376 0 347 0 1
377 0 346 0 0
362 0 378 0 1
319 0 429 0 1
293 1 421 1 0
349 0 330 0 1
292 0 377 0 0
412 0 318 0 1
339 0 405 0 1
330 0 287 0 1
305 1 352 1 1
380 1 440 1 1
390 0 260 0 1
410 0 387 0 0
337 0 345 0 1
352 0 341 0 1
345 1 342 1 1
397 0 348 0 1
450 0 332 0 1
284 0 340 0 1
406 0 338 0 1
305 0 413 0 0
366 0 387 1 1
321 0 331 0 0
355 0 381 0 1
318 1 302 1 1
376 0 372 1 1
323 0 335 0 1
365 0 398 0 1
263 0 400 0 0
324 0 306 0 0
392 0 296 0 1
347 0 331 0 0
351 0 274 0 1
429 0 368 0 0
328 0 270 0 1
485 0 342 0 1
336 0 366 0 1
348 0 373 0 1
400 0 309 0 1
282 0 321 0 0
352 0 313 0 0
310 0 343 1 1
385 0 327 0 1
331 0 255 0 1
318 0 317 0 0
353 0 415 0 1
352 0 354 0 1
356 0 342 0 0
339 0 384 0 1
384 0 312 0 0
362 0 357 1 1
334 0 382 1 1
303 0 264 1 1
457 0 308 0 1
353 0 327 0 1
343 0 368 0 0
345 0 417 0 1
307 0 323 0 1
428 0 296 0 1
401 0 381 0 1
363 0 208 0 0
359 0 278 0 0
318 0 291 1 0
372 0 423 0 1
426 0 332 0 1
351 0 346 0 1
374 0 314 1 1
310 0 350 0 0
468 0 360 0 1
367 0 378 1 1
382 0 282 0 0
377 0 322 0 0
309 0 281 1 1
413 0 322 0 1
294 0 304 0 1
411 0 344 0 0
365 0 394 0 0
420 0 282 0 1
326 1 342 1 1
252 0 444 0 1
398 0 332 0 1
358 0 342 0 0
277 0 358 0 0
363 0 343 0 1
432 0 233 0 1
332 1 310 0 1
320 0 341 0 1
333 0 309 0 0
372 0 319 0 1
384 0 321 0 1
321 1 333 1 1
346 0 269 0 0
335 0 292 0 0
333 1 302 1 1
379 0 385 0 0
356 0 195 0 1
393 0 323 0 0
415 0 321 0 0
297 0 313 0 0
389 0 367 0 0
347 0 266 0 0
282 0 321 1 1
263 1 428 1 1
318 1 398 1 1
323 0 369 0 1
356 1 337 1 1
404 0 285 0 0
389 0 372 0 1
365 0 311 0 0
282 0 297 0 1
355 0 275 0 1
417 0 393 0 1
365 0 398 1 1
334 0 367 0 0
311 0 349 0 1
322 1 235 1 1
328 0 358 0 1
501 0 426 0 1
385 0 288 0 1
365 0 325 0 0
355 0 326 0 1
388 0 274 0 1
349 0 299 0 1
306 0 411 0 0
295 1 371 1 1
350 0 410 0 1
323 0 411 0 1
352 0 283 1 1
337 0 393 1 1
273 0 311 0 1
333 0 370 1 1
322 0 324 0 1
361 0 330 0 1
311 1 280 1 1
244 0 323 0 0
381 0 388 0 1
437 0 314 0 1
360 0 331 0 1
328 0 287 0 0
461 0 444 0 1
368 0 248 0 1
319 0 261 0 1
312 0 387 0 1
327 0 300 0 1
380 0 401 0 1
367 0 280 0 1
342 0 306 0 0
400 0 293 0 1
340 0 286 0 1
395 0 422 0 1
